Distance_(µm),Gray_Value
286.649993896,22.478088379
287.299987793,22.619327545
287.950012207,22.530292511
288.600006104,22.556749344
289.250000000,22.414102554
289.899993896,22.422512054
290.549987793,22.685131073
291.200012207,22.923418045
291.850006104,23.047742844
292.500000000,23.067722321
293.149993896,23.107357025
293.799987793,23.196012497
294.450012207,23.070926666
295.100006104,23.014692307
295.750000000,22.859205246
296.399993896,22.581628799
297.049987793,22.438400269
297.700012207,22.354961395
298.350006104,22.000127792
299.000000000,21.849006653
299.649993896,21.790649414
300.299987793,21.525506973
300.950012207,21.338685989
301.600006104,21.293544769
302.250000000,20.956201553
302.899993896,20.899234772
303.549987793,20.964853287
304.200012207,20.979330063
304.850006104,21.128942490
305.500000000,21.243011475
306.149993896,21.371337891
306.799987793,21.441671371
307.450012207,21.404794693
308.100006104,21.390441895
308.750000000,21.460489273
309.399993896,21.377351761
310.049987793,21.350107193
310.700012207,21.326314926
311.350006104,21.275184631
312.000000000,21.469396591
312.649993896,21.806016922
313.299987793,22.042839050
313.950012207,22.094398499
314.600006104,22.075843811
315.250000000,21.977394104
315.899993896,21.744380951
316.549987793,21.519487381
317.200012207,21.487237930
317.850006104,21.439586639
318.500000000,21.408807755
319.149993896,21.394407272
319.799987793,21.474212646
320.450012207,21.415567398
321.100006104,21.199033737
321.750000000,20.847251892
322.399993896,20.914554596
323.049987793,21.027456284
323.700012207,20.824253082
324.350006104,20.589555740
325.000000000,20.660989761
325.649993896,20.561885834
326.299987793,20.379508972
326.950012207,20.340318680
327.600006104,20.391071320
328.250000000,20.533941269
328.899993896,20.724594116
329.549987793,20.858352661
330.200012207,20.875852585
330.850006104,20.804569244
331.500000000,20.858575821
332.149993896,21.237253189
332.799987793,21.389875412
333.450012207,21.449325562
334.100006104,21.541234970
334.750000000,21.515993118
335.399993896,21.614255905
336.049987793,21.708818436
336.700012207,21.591264725
337.350006104,21.586036682
338.000000000,21.732305527
338.649993896,21.804899216
339.299987793,21.986537933
339.950012207,22.118234634
340.600006104,22.186557770
341.250000000,22.060184479
341.899993896,21.863468170
342.549987793,21.935981750
343.200012207,21.974626541
343.850006104,21.956781387
344.500000000,21.891004562
345.149993896,21.739864349
345.799987793,21.698068619
346.450012207,21.726696014
347.100006104,21.788854599
347.750000000,21.608127594
348.399993896,21.367044449
349.049987793,21.280120850
349.700012207,21.286985397
350.350006104,21.285154343
351.000000000,21.375009537
351.649993896,21.469722748
352.299987793,21.716255188
352.950012207,21.959281921
353.600006104,22.088653564
354.250000000,21.927909851
354.899993896,22.012142181
355.549987793,22.080398560
356.200012207,22.125759125
356.850006104,22.189165115
357.500000000,22.361034393
358.149993896,22.501371384
358.799987793,22.635698318
359.450012207,22.798124313
360.100006104,22.529399872
360.750000000,22.024518967
361.399993896,21.795446396
362.049987793,21.608093262
362.700012207,21.576168060
363.350006104,21.870727539
364.000000000,22.075483322
364.649993896,21.885499954
365.299987793,21.228967667
365.950012207,20.896881104
366.600006104,20.790508270
367.250000000,20.841779709
367.899993896,20.991443634
368.549987793,20.996833801
369.200012207,20.758182526
369.850006104,20.661373138
370.500000000,20.790689468
371.149993896,21.043533325
371.799987793,21.024616241
372.450012207,20.825555801
373.100006104,20.766918182
373.750000000,21.016633987
374.399993896,21.269313812
375.049987793,21.516389847
375.700012207,21.881320953
376.350006104,22.291620255
377.000000000,22.441167831
377.649993896,22.264280319
378.299987793,22.590316772
378.950012207,23.051433563
379.600006104,22.972555161
380.250000000,22.558309555
380.899993896,22.079502106
381.549987793,21.819841385
382.200012207,21.553110123
382.850006104,21.424812317
383.500000000,21.507463455
384.149993896,21.582300186
384.799987793,21.345840454
385.450012207,21.336826324
386.100006104,21.399898529
386.750000000,21.274539948
387.399993896,21.118144989
388.049987793,21.403274536
388.700012207,21.785455704
389.350006104,21.927518845
390.000000000,21.856765747
390.649993896,21.714481354
391.299987793,21.806444168
391.950012207,21.754018784
392.600006104,21.672952652
393.250000000,21.366079330
393.899993896,21.132390976
394.549987793,21.120121002
395.200012207,21.291984558
395.850006104,21.703432083
396.500000000,22.487066269
397.149993896,22.605155945
397.799987793,21.798763275
398.450012207,21.505342484
399.100006104,21.484275818
399.750000000,21.552822113
400.399993896,21.558273315
401.049987793,21.458312988
401.700012207,21.343458176
402.350006104,21.264299393
403.000000000,21.083415985
403.649993896,20.966346741
404.299987793,20.926616669
