 ,Area,Mean,Min,Max,%Area
1,2060568,26.482,5,90,0
2,275544,17.194,7,70,0
3,1563171,28.372,8,91,0
4,275544,19.537,9,86,0
5,1594386,21.846,1,89,0
6,275544,19.485,7,88,0
