 ,Area,Mean,Min,Max,%Area
1,1414503,40.407,12,173,0
2,285120,25.168,0,127,0
3,1959828,39.558,7,213,0
4,285120,29.112,0,138,0
5,1512987,31.861,11,186,0
6,285120,24.551,5,117,0
7,1552155,36.134,6,166,0
8,285120,22.506,7,178,0
9,1329453,46.831,11,120,0
10,285120,46.933,11,111,0
