 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
0,2916.812,4281.656,51.46172,12691.93,-1423.031,-766.2957,-1852.545,13317.84,-2072.788,-3564.146,2723.707,-252.3246,2692.682,603.9374,1432.56,2534.845,3893.473,12970.82,551.1979,-1673.738,2266.557,2187.702,2067.216,1759.868,3644.299,1341.948,-1392.823,-3366.68,-1537.995,-1880.097,-657.5385,-2224.823,376.7438,-1266.966,661.0933,-4069.833,-4885.082,-2062.442,53.74851,-3673.953,2560.419,-1525.507,-1352.601,-1567.633,-2398.758,1062.004,713.2275,-2639.507,-5909.874,-2149.921,-509.3895,-269.5475,-3126.052,-1295.203,-855.6127,767.9084,501.2427,-2226.684,23494.08,-2292.559,-32.86124,1743.903,-88.19323,-1104.13,-1985.082,18181.22,3363.601,-1795.661,1698.564,74.57793,1055.111,-4221.277,1119.47,856.5589,2789.906,-752.5766,195.4987,8334.923,-1772.4,3847.762,-2471.434,-2563.918,-769.7168,-1445.673,-4043.11,3968.264,-920.1644,-1366.207,2438.916,6586.64,782.6985,14701.85,-6904.914,3406.46,908.4086,571.2738,133.8971,-761.4995,1796.899,-2438.953,2920.599
0.09996,7495.868,2254.244,-925.4013,12178.91,-1596.013,-920.1883,-1417.025,11088.11,-1361.087,-5241.26,1113.745,-196.8897,2588.784,64.27982,935.377,792.1343,4476.472,11970.13,-205.6964,1411.728,2523.767,1807.892,732.5254,222.6208,2190.222,2350.324,1442.931,-926.9697,-2110.396,-1573.632,-1038.836,-615.4532,-1356.299,-2030.179,1665.78,-2590.992,-3815.593,-799.644,-547.9503,-5359.877,3763.912,-2336.872,-496.0142,-1827.027,-1996.035,1206.579,2489.121,-977.7423,-3165.469,173.6725,-344.7119,416.8961,-1888.004,-2372.762,-1178.535,2661.709,742.2179,-2350.205,20289,-1591.519,213.8913,1288.568,814.2238,-1652.608,-1450.88,19574.76,1978.036,-1782.689,-453.1145,2110.659,3043.958,-4254.986,386.1502,958.0047,2604.924,120.5293,300.4627,7649.846,-1006.002,2679.289,-2047.346,137.1219,-4044.146,-2822.039,-5585.973,372.9347,-361.974,-2418.912,1152.686,7129.806,-2008.278,13234.33,-6830.987,236.2175,1153.449,-2433.491,1622.272,908.2906,1880.24,-2311.304,482.4427
0.19992,6258.567,1704.139,-76.55241,8893.43,-983.462,-2127.704,-399.6217,10045.74,-421.1171,-2891.105,1800.455,369.8924,1433.812,-210.3527,-406.3618,1588.366,3184.357,9067.694,-1478.506,-2529.685,2321.856,1310.291,349.5725,612.4972,1100.113,2387.95,266.0034,-1392.07,-2052.099,-2931.167,-270.2836,-852.8054,-2148.098,-1464.041,-1448.197,-2031.088,-5522.376,539.9803,-1013.743,-6102.901,271.4604,-1683.459,-679.3568,823.468,-2903.54,-625.7413,85.32651,-2312.88,-2734.854,-3201.527,40.55051,697.6734,-4308.089,-1038.869,-1751.795,1486.113,-1689.365,-3820.9,19572.95,-2762.276,-27.09781,1565.077,-486.6002,-1513.125,-1667.57,21709.49,3293.199,-1662.125,1350.458,-362.2103,1378.512,-4338.05,-757.6105,-704.6043,-1733.027,-357.7509,57.69607,8372.754,-1638.014,2039.844,-1865.97,-579.155,-3081.904,-1969.636,-5106.225,2239.847,-1427.485,-4185.665,84.29987,6507.128,-399.1123,14050.24,-8390.188,-1852.367,-716.9822,-298.1579,-951.8876,1621.249,2059.69,-4807.524,4480.109
0.29988,9294.39,1126.641,41.92822,8667.54,-1545.755,524.0496,-1436.219,12099.38,-413.0974,-4421.458,931.6771,-2673.375,2130.715,-2575.719,1547.361,2750.826,3066.633,7205.344,-427.6157,-645.2523,2652.179,902.6258,-1632.968,773.7383,252.7474,-584.8956,2696.396,-2935.196,-1675.425,-1168.283,-1884.117,-1082.829,-2347.367,-1955.833,-578.5911,-4075.676,-6087.873,-460.5046,251.8561,-5545.387,2340.6,-2118.298,-2106.058,-21.97812,-3251.16,1544.479,-1156.451,-1326.632,-2724.231,-1466.798,521.0288,101.6716,-4435.759,-1545.761,-2155.273,92.10232,-1513.649,-1348.422,17757.43,-275.2729,-1272.894,2058.611,-168.7345,-1767.814,-1675.795,21366.89,1974.946,-2066.697,-470.1195,1180.953,2676.69,-2844.997,-563.3306,835.4977,423.861,1351.415,932.1053,9622.353,-814.6234,-286.3705,-2745.409,-1799.185,-3793.181,-3064.59,-4954.231,615.7518,-2781.246,-3341.13,130.6189,5730.237,-1183.526,11906.58,-9463.82,1116.995,-460.7894,-1111.755,738.5646,1425.653,1251.627,-2318.363,2905.088
0.39984,7948.048,-1394.982,-297.2697,10363.38,-1827.798,829.1028,-494.4056,11285.33,232.5718,-3003.025,2275.887,-2280.051,804.1829,-91.43508,-240.8159,102.5784,4006.33,6189.116,-999.3351,790.3925,4342.73,888.1171,755.3257,578.6504,557.2951,-1009.842,1383.007,-4054.442,-2062.251,-900.3648,-707.7198,-1395.446,-776.3882,-3067.388,108.9734,-2287.627,-4801.571,-1015.215,-2205.095,-5661.009,1387.016,1040.615,-1508.29,-1372.163,-3136.283,-655.3724,-491.103,-2254.97,-3612.22,-1998.486,103.432,-857.7673,-2557.421,-2021.518,-1864.701,512.655,497.2993,-2159.393,17461.93,-808.6617,-632.5787,17.76817,73.01011,-645.2894,-1267.262,20557.33,3246.235,-1271.469,-650.0656,2.610737,730.1838,-1214.897,-3588.001,997.5148,1326.316,101.5785,2562.205,7381.919,-2265.055,827.8214,-1151.465,699.0181,-4097.399,-1996.077,-3553.047,-1060.055,-2431.754,-2924.492,1224.18,3042.657,-1156.377,11129.24,-8091.667,-1708.037,-1237.831,-1835.659,-1201.86,1085.831,3218.713,-3305.977,849.5424
0.4998,6877.505,2283.116,-639.8804,8098.918,-2163.113,319.2189,-1380.891,9557.057,-1357.829,-1718.124,1502.52,-2494.605,-1379.925,1521.89,-1338.353,-743.3387,2497.918,5957.016,-2575.175,-136.1808,3035.955,1550.859,3058.622,42.34729,716.7714,118.6878,1249.928,-2715.101,-3570.488,-3595.223,-1338.386,-1800.405,-965.1745,-1570.413,-1938.569,-271.3031,-3784.276,562.279,-3082.121,-3689.31,1488.858,-821.1048,-1577.31,-1108.278,-2438.105,387.9442,-475.2378,-3577.112,-2377.678,-253.5571,654.8745,-997.7489,-2193.54,-745.426,148.7234,308.5856,-315.2448,-1177.641,16092.87,-586.5095,-1451.185,774.5205,-1887.671,-3750.173,-1066.739,22544.85,1150.063,-2404.822,-1316.56,-1342.868,1131.677,-3014.627,-2335.387,-535.5262,425.6542,427.6281,174.2364,8152.479,-2205.631,31.89866,744.5995,-2348.446,-3995.692,-2281.252,-4133.577,61.18745,-1784.296,-2262.928,-280.1664,5219.386,-3162.11,12665.06,-10450.71,471.3543,869.854,-2792.317,-871.0414,-154.6835,312.1966,-2974.115,1078.922
0.59976,3766.372,-1012.286,12.46956,12801.35,-894.6207,-695.9815,1458.568,10001.85,-2104.703,-565.7784,469.3361,-61.47635,-94.72212,981.4963,-1566.821,916.4453,938.5778,5230.35,-2541.809,-59.4325,2770.218,-114.2916,1763.835,550.4128,-480.9122,1143.699,1226.359,-2334.056,-2256.926,-1205.652,-926.9875,-2396.381,-1305.504,-2381.046,634.3176,-1561.991,-4828.265,-854.73,-590.2668,-4793.73,2714.075,-22.51505,-2098.597,423.2544,-4477.764,577.6025,601.5681,-1633.671,-4627.806,-1349.738,2620.506,-385.5578,-1895.576,-1717.987,-1997.949,-631.5615,-944.9353,-3288.511,13095.2,422.4868,646.3068,-754.0331,-2459.4,-745.947,-1053.518,19138.21,1584.451,-32.28664,-1019.663,-837.6563,2206.629,-2526.108,-2399.441,405.6614,149.5802,-499.6927,-192.4664,6112.262,-430.5441,434.2348,359.5787,1548.613,-3813.16,-1687.048,-2704.684,130.7769,-3118.331,-3266.129,1595.132,6430.417,-2448.054,11968.5,-6548.546,-174.1014,155.3967,-2527.911,381.1437,1347.113,-710.3001,-4945.214,1132.38
0.69972,9465.229,-149.9903,1746.589,12279.34,-178.0865,123.505,-1157.698,7942.97,309.3705,-1815.335,242.7434,-1367.36,-1187.772,7.275331,-722.2458,709.523,2588.309,5323.557,-3241.335,-2326.664,2465.243,4103.132,2617.847,-538.5117,273.4811,1676.613,1717.738,-2496.112,160.175,-429.332,-1541.028,-614.102,-2104.466,-2091.319,-821.0469,-4412.893,-5506.81,1015.74,-1499.211,-5361.168,1406.442,1104.069,-1998.172,-1198.82,-4961.97,-917.0122,226.9265,-1947.169,-3990.629,-1948.391,-731.7537,-733.5692,-1163.943,-285.0523,-2386.062,1609.81,957.3467,-869.3255,14132.38,-1640.765,-320.2804,-1187.183,-1951.663,-921.7556,-590.283,19728.01,2054.004,-1538.829,-665.6111,-1585.527,-547.6631,-1908.936,-4095.531,-390.8901,865.3079,-208.2444,1434.546,8347.094,937.017,844.8793,773.4962,69.05346,-4528.182,-3100.756,-1941.938,-738.0689,-2322.228,-1339.703,603.662,1808.757,-559.011,11558.04,-10821.52,-255.4937,306.2743,-879.0316,1574.252,1474.65,-383.251,-6408.047,2245.031
0.79968,8994.102,-1632.967,2715.102,14139.87,-1580.408,-114.9941,-1545.368,5309.531,-880.3798,-1252.991,1426.979,-1972.817,-864.3693,98.3539,1637.524,23.38041,2317.041,4736.257,-4567.46,-1109.185,3250.464,2133.708,789.0508,469.9232,1039.335,3747.3,1364.537,-2605.64,-2645.899,1458.867,-1992.805,-2574.479,-1092.936,-1767.385,-1607.446,-2972.763,-4211.596,-1833.559,-1125.015,-6540.767,-341.6064,-1109.15,-685.681,167.9969,-2513.355,20.59966,651.3705,-2357.509,-1497.272,-1877.606,-328.1112,158.1635,-2148.981,-816.4286,-503.0164,-274.0643,-150.5233,-1791.303,11573.05,-1473.693,-1684.893,-463.2118,131.2389,-2847.464,-1745.603,18268.51,1018.173,-1685.956,1035.934,-385.2489,1477.754,-1398.856,-1622.08,-3392.045,544.6901,-491.8578,-1859.563,8046.683,-2614.627,94.99448,-2269.095,426.796,-5555.374,-2284.834,-2256.195,-216.5615,-3126.298,-2752.333,-174.8616,3308.757,-1773.782,11045.43,-10218.09,942.9281,-1371.771,-2050.054,3711.988,389.2795,-894.2603,-4820.09,-1055.599
0.89964,10206.31,-887.5544,2734.755,13810.2,-1320.329,172.7583,-2015.191,7015.702,-1206.759,-764.0457,2123.148,-1156.426,-3711.668,-761.5872,-718.2657,-373.4831,2782.654,5213.832,-3093.441,-1032.206,3441.854,1355.495,2038.736,-152.8483,897.5688,3270.12,1444.343,-3083.971,-1619.783,594.1747,-77.33319,-2497.431,-1033.587,-3708.269,-766.4863,-3642.949,-4198.301,-280.816,-2812.134,-6221.312,1012.861,-564.9476,-1952.161,-659.7901,-3905.532,-795.7155,-881.6248,-889.6221,-2146.119,-2120.826,37.27404,-1840.12,-1454.888,-1375.876,-3229.369,1299.76,-712.9854,-342.7932,11882.41,-1653.465,-177.919,-1288.897,1073.436,-1472.517,-2384.1,17420.18,-393.2195,-2182.726,-1338.229,2359.891,1658.363,-566.0376,-3373.032,-1203.801,-436.1664,-809.0992,228.5442,6938.455,-2184.818,662.7126,-527.1534,361.8911,-3880.9,-2140.494,-2405.789,-782.905,-1409.579,-2984.635,-2464.59,3223.149,-775.4628,6790.535,-10558.73,-395.068,-824.2006,-2362.138,1497.595,330.0686,-1152.241,-2189.404,93.47857
0.9996,10909.39,234.337,2097.496,15219.86,28.61767,-942.9944,-863.9026,8087.192,-1195.927,-4116.905,2480.136,411.8049,-2602.203,-1035.597,-1118.422,397.2041,3948.523,5562.066,-2190.804,-2805.792,1614.671,1819.1,-958.7065,1598.571,-654.0251,1980.655,1678.961,-2796.822,6.132625,316.9162,-1844.269,-2611.327,-289.1133,-2900.871,-2472.873,-3848.885,-4136.303,207.2171,-2323.127,-5723.97,274.3664,-623.3513,-1170.745,-2003.215,-3126.013,-1182.522,-705.2016,-3680.728,-2280.416,-1772.521,589.3555,-260.6438,-1939.049,-588.6516,-1691.336,200.6638,-1906.159,-637.8853,10920.32,550.6793,-2034.729,-448.1657,1200.056,-1513.313,-889.3955,14401.5,166.3038,-1737.807,-966.3684,-599.9556,1548.112,-629.2861,-1534.095,-871.1485,-330.8524,527.1413,-750.6104,6295.51,-1667.048,-538.6882,1420.396,1673.667,-6618.935,-1737.244,-2910.081,-958.2252,-1279.514,-1588.814,-1632.906,2307.843,-1514.005,6245.343,-8934.222,1880.318,-1142.14,-2052.331,601.6871,-814.6478,-1027.799,-3495.332,-1473.739
1.09956,13539.94,-139.1322,3194.873,18432.63,-1812.117,1464.532,1183.27,7490.48,-1624.074,-2402.531,1672.36,-947.8736,-2703.587,1268.016,-519.8261,-1270.981,2731.209,3214.477,-3241.479,-2824.256,720.8834,1391.389,1481.486,116.6052,1146.189,1149.145,733.1952,-2055.947,-2966.682,-1046.53,-1545.283,-3169.076,-3911.631,-2574.205,-624.5814,-3995.353,-1987.859,1015.081,-2606.823,-7490.546,1171.407,1333.657,-768.6357,-2485.858,-2914.118,652.9481,543.7819,-3968.656,-2379.49,-2502.539,2025.995,-849.4467,-1667.071,-655.8705,-1829.984,-1563.568,-12.65979,-2495.856,10123.27,697.9691,-541.7576,-3177.009,624.9886,38.64943,-1787.983,14558.48,529.4559,-2756.699,-1375.038,-1068.479,1145.682,-33.58961,-1733.202,-2609.177,1146.79,-1586.017,-1185.078,8067.168,19.53266,-1578.548,-339.1018,-2056.877,-4006.425,-33.12842,-4199.166,1085.794,-2325.052,-1620.509,-313.8577,3242.635,-2753.232,8155.015,-9165.263,-1348.908,-612.1023,-1057.57,1500.015,299.3784,-2426.228,-2917.015,-142.2705
1.19952,12173.25,-1654.686,1421.872,15121.1,-1099.578,-365.7238,252.4036,6129.539,-1461.309,-1052.307,6337.411,-1377.847,-2517.329,41.35701,257.7975,2724.816,2527.711,4863.942,-3587.195,-2978.001,1405.91,1952.309,415.4521,1214.445,334.1133,1689.589,2158.553,-1808.659,-138.671,-19.38307,-373.6991,-1676.656,-2029.008,-2422.404,-1056.182,-4352.23,-3460.582,-82.42401,-2539.794,-6933.898,1988.419,1478.083,-1293.939,48.08377,-3368.24,-1826.887,1320.907,-5029.965,-1774.616,-1170.275,1455.239,-1669.641,-3362.335,-302.4465,-2420.947,412.186,-667.8131,-1684.58,8737.273,-303.0613,-1114.04,-847.2759,1078.148,-179.2157,-2052.706,10626.89,434.962,-3883.57,2433.196,-324.824,1803.645,-1273.438,-2236.273,-256.7929,-2785.768,-1010.689,-259.3518,6450.7,-867.9781,568.6066,2.54952,1513.66,-4942.338,-1757.233,-2845.394,187.3438,-1664.213,-2811.127,-264.5835,1861.181,675.9584,6102.347,-9906.767,-1267.992,-2443.403,-2355.638,586.2937,1351.363,61.1418,-2910.456,875.9474
1.29948,12714.57,-1744.54,2068.864,14187.65,-1841.838,119.0565,-1365.447,5020.006,-473.4894,-1692.082,6849.691,-957.9348,-2162.969,-2089.938,-369.0301,451.6916,2899.472,4751.389,-3193.647,-1961.194,-93.93017,1600.003,2595.857,2213.818,-496.2766,1426.983,2895.681,-3949.706,-1934.182,-1137.013,-1352.678,-1448.526,-2551.942,-2514.21,-1036.817,-3815.23,-2289.519,-121.2221,-2054.477,-4228.044,-142.6244,685.0557,-167.4209,-1937.565,-2803.613,739.0536,580.9566,-2395.026,-3682.456,-2253.199,2191.551,37.61672,-2102.63,-859.0805,-2039.938,-186.555,-1833.559,-455.778,5259.296,-855.5267,-806.2376,-2479.822,-1601.399,-1987.744,-2244.354,11981.3,131.2161,-1338.09,1195.41,-516.6089,1596.823,543.6002,-1574.443,509.5146,387.481,-280.1877,1231.413,8921.79,-1984.084,359.6889,482.698,-38.68827,-3300.764,-1588.764,-3107.976,248.3246,-2119.185,-3072.214,-377.9553,3616.936,-428.8003,6572.629,-9759.57,-563.8915,-672.6303,-9.108045,2492.672,1276.462,737.7449,-5208.014,-290.9603
1.39944,11244.67,-1966.731,3574.884,15066.28,956.5141,-2831.277,633.4896,4345.393,-507.1152,-4544.921,9358.963,-337.6422,-3162.795,-1095.358,-2312.643,1758.318,3079.231,3243.242,-3929.305,-1576.816,881.5682,1277.642,1956.402,1647.324,-252.0855,3085.375,-506.6688,-150.7637,-2060.005,-2962.254,-1030.424,-1683.211,-1860.394,-2175.776,-1473.417,-2679.267,-3668.811,-597.8574,-484.8285,-3223.083,585.4993,-118.6384,-278.7818,-1101.201,-2432.579,-734.8251,232.2384,-4415.394,-1383.299,-1679.974,663.3792,-692.8955,-2313.863,-525.1898,-1213.801,-39.15428,-138.0011,1062.626,5865.415,312.1388,-1503.59,-83.91618,329.4572,-1186.819,-762.8744,12324.37,-1219.806,-1855.15,1461.704,-2655.004,-52.77438,-896.7539,-788.1645,-3028.969,-1476.535,431.5694,-352.0888,8558.466,40.25663,610.3197,1179.851,1360.988,-3582.222,-1289.729,-3806.01,-1067.131,-1890.556,-2138.409,-643.3607,2481.357,-135.9431,6384.199,-7772.196,-380.7595,-1653.851,-2831.865,3520.671,874.0284,95.13873,-4721.233,738.1385
1.4994,13390.79,-3579.024,1311.018,20822.84,250.6673,-1356.558,317.3453,3491.184,-1958.815,-850.0361,12790.92,-1881.219,-2571.66,-708.6348,1792.13,157.2535,2090.501,4189.833,-1592.791,-1986.735,1543.583,160.2591,164.2714,2482.485,1077.769,1436.104,-1742.705,4638.253,-1989.095,677.9527,-3163.699,-3044.916,-357.2498,-3308.492,-1910.313,-4909.111,-4265.4,891.7757,545.6811,-6584.048,411.6255,-3538.305,74.21479,-1409.795,-2966.617,-555.5243,-197.0647,-3170.566,-4806.845,-1223.663,725.8105,1771.245,-1830.849,-1361.781,-989.9694,-1285.302,-195.9351,-3705.027,5418.534,-743.0309,-1427.333,-2094.983,169.6748,-1108.575,-1637.602,11117.98,-930.7441,-1592.807,769.0391,-1856.833,1349.302,-2448.752,-1086.857,-763.7774,1208.026,-490.8102,2813.048,8547.398,-1342.562,29.55792,73.71963,-501.8956,-1987.12,-1492.442,-2657.148,-1502.642,-2524.016,-2346.352,-790.3163,2085.459,-1396.835,6884.85,-8595.282,-1444.298,-1841.283,-736.7532,2395.152,654.5597,-892.6088,-5517.116,571.2599
1.59936,14489.2,-1912.586,193.7259,19984.46,-1294.474,735.4477,-1028.24,3145.67,-1947.801,-2721.325,10918.75,491.2685,-4385.08,-26.24721,1252.87,-499.6777,1391.549,4329.055,-1999.956,-1418.995,-970.1354,3308.226,631.2193,1758.948,416.2852,21.52995,1510.801,3172.573,-980.3553,801.3329,-306.2057,-3301.488,-3296.199,-404.4495,-6.989695,-1805.089,-4441.487,-502.4021,-278.44,-5655.64,1046.572,-932.7087,-2496.194,-219.5362,-2196.625,-861.4902,736.6602,-5130.816,-3796.894,-1885.28,2019.503,330.6413,-3165.884,-1573.035,-1153.828,702.1346,-435.597,-2394.285,4081.836,-1820.456,-1785.758,-2852.808,-1356.241,-297.2259,-1511.794,8305.673,-1436.256,-290.3294,1067.097,-558.1891,2802.97,-1332.81,-242.8369,-2602.035,-573.9973,-1666.569,1074.503,9711.94,167.5475,-230.727,751.9467,842.0186,-2355.626,-981.2487,-3314.766,510.2364,-1698.147,-2062.301,-804.1598,1386.037,-317.8286,6882.146,-9940.15,940.1575,-1309.893,-2701.208,1424.837,-400.6918,305.437,-3253.086,425.9529
1.69932,14027.58,-1693.387,799.5141,21741.88,816.4473,-1141.923,106.7912,2776.019,-560.1548,-2364.089,10432.54,152.2397,-3089.135,-1144.63,-513.0214,948.2179,2431.261,3529.3,-2951.167,-1343.731,-622.2627,2696.485,2755.384,1926.245,2941.939,957.9391,367.1283,1128.017,-911.671,-42.78297,-410.4058,-1950.491,-1100.769,-1538.432,-1655.373,-2811.787,-2035.137,-657.6339,-351.5888,-4777.512,-648.0232,-247.6535,-1986.474,171.4627,-3508.312,-1981.959,-1381.479,-5187.661,-4100.323,-2759.057,1462.413,-157.1018,-2818.192,-669.1545,-787.0801,0.2324243,1030.328,-2635.844,2095.334,-2101.159,-1406.731,-1628.99,1040.707,369.3083,-1811.798,9831.497,-1922.79,-2306.95,1819.812,-805.7759,4089.184,-2195.998,-2207.504,-1177.626,-192.1997,29.70556,234.8203,12782.59,905.0422,1742.43,741.9796,-645.9678,-1141.494,-776.6492,-3900.507,561.414,-351.811,-354.7349,393.6107,698.8436,-2450.178,6126.764,-8757.899,-56.52683,-790.7525,-618.4857,2700.398,-1539.839,114.3451,-7551.233,848.4621
1.79928,10770.57,-886.5211,-247.0296,22836.16,-803.66,-934.985,-285.3221,3882.205,-1309.774,-265.9898,12023.62,-1548.605,-3017.671,307.4823,-2164.136,1172.671,1485.917,4049.961,-2280.372,-427.7362,927.5845,-591.3312,-630.3091,771.3409,2663.103,271.3053,1541.292,-318.507,-1640.277,1063.245,-228.917,-3463.26,-1352.847,-1724.92,-2257.31,-2364.114,292.4359,1579.631,-1170.643,-5574.013,-85.58121,-1356.198,-339.955,-2075.603,-2585.373,-664.8286,-24.19025,-3326.455,-1640.586,-2454.133,-815.139,638.9853,-3387.519,-866.6316,-602.8474,73.06565,-1265.838,-2551.725,4617.047,-1098.697,-1649.686,192.1521,130.5896,837.629,63.03289,7493.647,-2297.198,-1163.837,662.6089,1309.148,152.7994,-2301.666,1312.44,-280.8804,-1764.473,-2440.446,1495.443,12065.19,-2003.207,275.5016,403.8611,537.4752,-2937.875,-1326.603,-3122.924,-1006.16,-533.8013,-1576.413,-583.228,2142.305,-2981.487,7241.721,-7919.936,-604.702,-1461.742,-681.8045,3428.186,327.2092,819.2852,-4541.915,2120.11
1.89924,12528.49,-1439.012,1089.896,19492.66,595.7133,-203.7922,-525.5441,1755.423,-942.3596,-3025.949,13245.05,409.3465,-2372.418,-106.4158,741.076,1666.251,3015.195,4311.181,-3782.843,-1397.042,-1735.841,1283.264,-1151.938,179.8614,2265.382,98.75945,-1384.251,1159.357,406.6488,-1306.142,594.5675,-1139.487,-1399.149,466.9649,-2205.332,-1863.888,-2585.431,-206.6239,-1302.963,-4822.829,309.9865,357.0285,-2828.625,-3156.48,-1447.538,-1690.357,1350.523,-4084.294,-2540.223,-346.29,-99.89771,-719.674,-865.064,-205.7702,-27.81818,-1386.363,-1411.232,-2409.923,2154.672,-197.0812,-1759.614,-2043.371,-307.1952,-860.2043,-117.9912,9096.026,-985.3934,-1016.076,2458.73,107.9498,-518.3656,-2270.177,313.1023,-1646.486,-905.4468,-696.3277,-85.38546,12223.27,450.8789,365.687,360.252,-582.7106,-3946.326,78.82894,-2782.369,1144.842,-2318.492,-1012.711,732.3256,2416.923,-3926.274,5482.788,-10548.01,-1293.144,-1423.586,-1484.587,3231.162,-843.1461,895.6144,-4797.81,504.9858
1.9992,15196.96,-3266.099,-386.1816,21362.28,-207.6106,-1558.101,2490.875,1835.43,-1061.076,-968.9361,13792.23,385.3832,-4790.633,-236.5634,-189.5721,2548.886,2371.989,5289.502,-1229.623,-2738.973,-159.4239,728.9255,347.1425,566.9848,2269.172,880.9904,-610.4955,253.3151,-267.4016,1262.991,1385.147,-2477.827,-771.4872,-1735.354,-3387.537,-2536.993,-1800.199,-91.33042,-3297.958,-5658.141,191.5263,197.9727,-2688.771,-1215.761,-2157.032,-18.55051,553.2969,-2577.319,-4060.625,-3408.106,-412.2031,-1766.781,-1103.391,-93.93053,-3322.144,-2464.138,-1023.314,-2833.637,3668.676,-1918.209,-3105.425,-1471.844,-496.5236,-303.3463,-2249.134,7287.583,-336.1141,1155.321,1434.356,-876.2399,517.9274,-1145.657,-1177.712,94.68269,-1092.2,-1462.204,461.5611,10537.39,-808.4359,1208.549,305.7705,583.186,523.3442,-514.5313,-4434.164,73.58983,-1640.598,-2313.112,585.6313,1645.256,609.7015,3648.065,-8131.967,-774.1494,-927.7877,-1496.148,2133.85,-772.5404,212.9736,-6919.883,2463.42
2.09916,15586.71,-887.7386,-1167.442,17155.88,-586.4706,-946.9723,141.0135,224.4339,-31.40338,-1833.651,14087.33,-182.8067,-4007.012,-2408.9,-2620.412,608.4824,4510.842,3096.989,-2140.903,-3433.222,-1146.6,1744.689,832.7798,1373.04,1755.336,1690.999,279.4746,-2881.86,-381.1194,-322.6402,1339.392,-1768.494,-1096.548,-1037.901,-1442.845,-3162.013,-3612.852,-2136.702,-3116.493,-6250.612,190.0953,59.62316,-956.1152,-2952.448,-1436.634,-1261.024,1627.144,-3999.935,-1823.218,-1157.178,1141.203,-704.2403,-2065.695,-950.6035,-2942.201,-661.2959,-272.2812,-2123.69,2075.257,-2008.119,-2002.629,-2638.225,146.0632,-239.0586,-2788.518,6324.463,-621.205,-916.8784,180.7019,1383.613,3247.535,-1993.744,-99.73368,-990.6677,-115.2111,-1313.37,179.6873,9484.89,-501.397,950.2304,1078.382,135.3016,-2774.388,-2917.764,-4702.061,-751.1548,-1574.424,-2566.218,-548.8453,132.8514,-470.7997,4709.308,-8246.827,-1032.621,-2070.39,-2368.931,1433.111,-679.0938,652.7035,-6720.037,3523.461
2.19912,17412.94,-2015.503,-201.3755,18004.02,-1837.32,-1414.345,-179.4764,579.3395,-823.7844,-1713.958,10040.25,-710.6553,-3720.509,621.1177,-2202.823,187.0191,3136.631,3195.187,-1645.596,-2184.995,-2444.033,320.7341,18.51443,1554.44,2537.345,1643.924,843.9805,-2169.806,-1861.456,-374.034,679.5692,-3623.079,-1799.189,-1629.054,-974.4154,-3258.088,-2709.969,-361.2245,-1202.826,-4927.24,341.8986,-2165.641,-3407.413,-909.3,-3759.912,-2104.519,1203.531,-2748.179,-5375.385,-1988.158,638.5134,-342.4371,-967.8831,-39.21718,-1849.829,-1254.167,1765.25,-956.1641,1647.641,-2029.674,-1121.408,-2278.543,454.5139,-1327.518,-1881.953,7990.047,-1029.995,-2855.266,-778.6797,-1450.451,2079.358,-1688.127,-154.5,-2371.095,-762.3639,-642.8854,-1000.427,10891.17,-2210.127,2776.86,-1299.173,-284.6499,-2480.142,-1556.259,-4981.177,240.0428,-514.4838,-2994.686,-463.0053,595.6338,-773.4032,3446.8,-7095.093,-331.3551,-1383.302,-2200.525,1837.79,-1235.991,-165.5406,-4764.459,2366.719
