 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100
Time(s)/Cell Status, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided, undecided
17.69292,-2095.139,-707.2171,-281.6446,-753.4604,-224.7676,-2541.638,1680.152,-503.4039,1011.124,-908.4957,10558.84,-3349.931,-1842.561,596.1648,3321.488,-3213.764,-3471.629,-1189.447,-1742.475,2236.662,-3969.891,984.9623,-2931.668,1832.149,-373.192,-325.8275,3962.47,6750.988,-1814.648,903.2683,-2477.423,-963.014,-498.8686,529.2157,2832.595,-1169.084,-3843.174,-213.0094,-57.15337,-246.5064,-1356.192,-2766.682,601.5281,2162.602,-2900.704,56.66462,7583.62,-1790.377,-3588.416,2921.453,-1180.398,345.967,-3913.122,-733.071,2310.151,-1783.917,2806.674,26065.13,-3750.813,2475.156,-1438.915,-3066.484,-1404.566,-2300.103,-2545.951,1686.971,-2496.4,4493.369,-368.0361,725.7637,665.0812,-1416.707,-1914.323,-1691.846,-2187.626,6719.225,2976.997,-2499.643,-1116.637,-1406.459,-1814.452,2864.411,-318.0657,5104.374,-1347.668,-699.3978,-1147.486,-5588.674,808.5364,-2600.483,-4077.49,-509.6936,-5065.023,-2218.034,-2470.375,15378.91,1976.545,11680.3,-1531.172,-5591.662,-2549.391
17.79288,-449.2221,-2427.162,-500.1458,-1428.825,-2050.016,-2677.052,267.239,-279.7927,2304.493,-514.6334,9211.993,-4954.958,-1876.834,16.99444,4799.75,-2162.231,-1920.188,-744.7806,-1507.523,269.7466,-3742.701,173.7931,-1860.637,2486.468,34.21082,750.5328,3855.94,5861.662,-809.488,2294.703,-2388.512,255.3418,-2123.568,-162.9452,725.096,-1008.132,-5891.371,357.8554,301.9697,387.8726,669.0103,-2817.106,-76.24303,1486.582,-3153.056,-358.3062,3781.537,-1119.111,-3255.476,-594.144,-1630.223,486.0919,-5649.868,-2055.158,2461.908,-2872.527,3218.057,25643.49,-3729.356,386.6264,-1671.765,-3590.04,-805.8058,-2538.934,-2006.178,2844.849,-905.7819,3149.787,729.4316,1563.597,2171.137,-1784.182,-1434.985,-1108.173,950.0217,5918.51,3122.177,-61.69431,-1003.328,-217.1779,-959.4927,1274.319,2641.508,4274.799,-2905.839,-616.778,1059.761,-6463.166,-943.0634,-163.887,-3185.497,-1643.215,-6333.459,766.5709,-809.3193,15830.89,3852.893,12189.25,-1887.097,-4992.158,-2145.529
17.89284,-2425.324,-3377.796,698.265,-1995.509,-16.40606,-1260.343,2553.919,-0.9453328,2850.559,-2740.79,7347.287,-3400.716,-2761.031,-284.7124,4641.282,-1797.169,-3499.117,-893.6151,-525.4001,174.6221,-2293.724,3396.935,-2233.197,2593.976,23.68354,-2186.443,1727.424,4158.907,-316.9448,491.2988,-3677.175,-618.1098,94.62676,264.1814,772.3604,-1756.145,-6296.906,-786.5195,-206.2617,2468.76,-1456.507,-1980.208,1117.388,2025.115,-4021.09,-2567.048,3731.999,1392.191,-4507.595,944.4675,-460.8991,-485.5181,-2871.239,-231.3238,-146.6218,-1583.153,3646.418,23901.29,-1980.8,875.5125,-1526.204,-1873.367,-770.1935,-700.51,-1974.717,588.4155,-2108.848,2229.088,266.271,-33.58118,-26.74049,108.0036,-2329.706,-965.5768,-894.7846,4833.016,4621.377,-1939.589,-1995.815,-1868.803,-1717.939,1198.681,302.2984,2667.343,-4047.183,528.533,-149.0043,-4205.319,-209.1607,-667.8134,-2348.389,-963.9291,-5682.816,-525.9266,-515.8886,13065.38,3902.22,14427.63,-1255.354,-3728.042,-1021.147
17.9928,-1888.527,-1888.627,563.7133,-797.1214,-689.1465,-1794.527,1543.624,-641.8939,1525.538,-3261.317,6049.384,-2693.586,-1347.683,-503.4492,3447.824,-3142.782,-3029.938,658.4471,-1952.357,71.47298,-956.8782,1681.139,-2814.457,2880.811,-1322.081,788.5488,2399.848,1193.138,-1595.721,717.6584,-3547.397,-4449.019,-889.4365,662.0937,1328.624,-2624.701,-3899.318,318.3751,854.6672,-1741.088,-2442.899,-1689.747,1732.483,2173.598,-1764.661,-1760.913,4691.634,-2167.936,-3453.06,2021.553,-1149.093,-836.0067,349.9618,428.2953,118.5709,-2569.421,3981.29,25494.19,-2578.688,672.6811,-847.0033,-1564.372,634.1891,-2027.088,-2560.598,289.0468,-1663.968,3723.416,-9.91333,841.472,-606.9083,-652.7147,-1787.202,-790.9793,-1053.716,3050.178,4126.297,-481.521,-414.9932,-3176.563,-1632.75,1302.094,-2159.591,1382.262,-2603.052,-2286.111,1880.885,-4363.668,-1823.558,-1565.844,268.2761,-937.2869,-4328.319,-367.328,-3262.352,11475.14,117.2613,16535.02,-2206.397,-4850.005,-2622.132
18.09276,-2856.134,-2233.54,-338.3654,-372.6215,-496.0795,-618.6223,2266.383,-174.5282,1399.051,-1982.564,6369.021,-2000.097,-2364.201,-318.2193,3667.088,-1707.694,-2231.801,-790.3896,-48.95177,-2170.875,-4054.635,-303.1746,-1287.4,4324.878,776.0839,-139.9025,1744.548,480.5271,-3204.742,-49.00463,-2064.143,-2097.914,-581.4299,121.657,-667.0938,-1866.72,-4210.132,-1972.431,-908.338,-806.8517,10.05377,1589.028,1255.677,1182.661,-3917.699,-955.0041,3049.013,-912.7982,-2008.922,1348.099,-718.2259,558.9631,3237.319,-2469.167,445.0428,-2167.656,3408.622,23195.44,-3656.186,1841.743,-1032.311,-2429.931,-892.7374,-1800.068,-2090.612,-573.7183,-612.5551,3654.239,380.8038,-758.6854,801.1855,-1164.18,-2865.089,927.3954,-343.1255,2843.991,1649.855,-595.127,-2871.883,-601.9288,-1473.25,1203.529,-2616.703,-282.8677,-412.2061,-55.35522,91.85612,-5658.988,42.21,-158.3861,-1562.606,-1840.879,-3706.662,-1307.476,-334.507,9234.138,255.1464,15835.75,-2798.133,-2863.86,-1662.704
18.19272,-4514.425,-4210.679,-2045.955,-184.4377,1852.319,-2567.772,2484.125,158.4344,1386.189,-230.1674,6597.786,-3509.708,-1685.12,-1740.275,1867.747,-184.7646,-2891.564,665.6635,-564.0008,-968.737,-2439.718,-481.834,126.5793,3175.034,-2030.002,460.2212,911.426,458.5153,-613.6592,-382.2558,-1476.86,-1360.088,-1511.397,784.6511,-307.4517,732.5123,-4740.419,-1163.919,-763.3913,-1957.079,-2019.963,-739.6807,1408.129,1169.496,-2182.865,1702.501,3621.33,-3205.831,-3850.638,713.697,1415.392,-873.096,6935.958,101.1583,1736.939,-273.4435,1692.717,23759.28,-2827.957,-1524.207,431.2682,-1908.052,-85.1277,-1661.67,-1824.306,3041.977,628.3633,2168.305,-303.6111,-183.5595,1197.318,-1050.942,-1851.257,2003.793,-1178.276,3286.231,2167.525,-1129.548,744.5601,-557.2169,-901.2618,4277.295,-1492.835,-404.5619,-584.2244,-605.7273,-1807.609,-4909.595,-2732.832,-731.6227,-1845.552,-1958.459,-1497.98,1346.559,-878.8679,7967.662,2752.728,16988.29,-936.2761,-3812.816,-1917.765
18.29268,-2042.625,-2277.203,-4301.978,2047.163,252.3573,-314.7058,2014.291,-592.2435,-443.6057,1250.494,5471.472,-3494.33,-2998.709,660.9617,3709.27,-581.4993,-2097.878,-1482.912,-2573.839,-865.49,-4023.558,-1492.77,-151.888,4647.01,463.4034,156.983,-572.5966,-1110.251,-207.0536,-1012.585,-2087.002,-138.639,-1104.243,-463.0399,-513.1837,-1791.218,-4427.167,-145.8528,1118.179,1043.106,-559.1313,38.93103,2483.248,618.7502,-1563.154,-1169.986,1235.727,-2533.394,-4329.503,-169.7878,-1081.519,-360.6942,7579.624,-1002.69,-606.9583,-1468.697,1858.541,21562.42,-1950.571,1137.964,-1549.41,-305.3247,1673.281,-762.3779,-1445.866,-71.98941,-1189.774,3826.891,-742.2518,338.1459,38.91511,1259.162,-2139.464,82.59611,-949.8226,2673.051,1670.05,733.5168,520.2775,1597.658,141.3902,1904.636,-1374.117,8.980229,2210.786,781.5847,-1863.302,-3555.464,-439.6715,-942.0582,-1286.806,-800.6314,-1178.656,1357.844,-826.0788,9654.721,2706.269,14942.63,-596.5319,-1948.819,-1007.407
18.39264,-3921.967,-2075.289,-3409.542,2650.38,-459.5459,-1431.46,1089.938,1849.931,48.47766,2299.293,4599.73,-3155.571,-3314.331,-1588.453,4027.943,-2152.929,-1866.101,-936.1727,1.459741,-788.2725,-2924.762,-351.176,-2120.969,1735.764,-586.8812,-156.0568,363.7332,860.2491,-1861.27,-1245.108,-3879.529,1478.626,-89.54464,925.0381,-1979.886,-789.4145,-3861.865,-970.465,289.7177,-560.1683,-1517.175,373.0894,-860.6508,2172.589,-2368.684,1177.769,1833.54,-3029.711,-2789.539,981.1083,619.746,-604.6294,6969.227,-838.1606,1409.879,-608.308,1347.024,20743.75,-3147.917,1411.531,1377.925,-2721.196,-1328.808,-1423.05,-1563.224,2435.17,-242.7686,2012.598,1185.607,-765.626,-52.65379,1267.925,-1346.243,241.3011,-2280.921,877.2275,897.9498,-2331.09,-1449.119,1532.416,-2089.782,2699.153,-1143.307,-636.8934,114.4367,1453.695,-170.1569,-2649.609,-1595.056,95.3643,-1993.926,-929.1053,-1292.013,572.7336,-1014.046,7144.043,2174.537,14448.84,-1389.486,-1762.626,-4031.822
18.4926,-1818.202,-2724.213,-3569.182,1957.819,-103.7152,-523.2225,2117.963,-749.2723,1449.203,2397.229,5170.853,-3293.422,-3583.997,-2132.451,5460.684,-1458.09,-1132.617,-1166.116,-2572.561,1208.921,-2219.116,-973.1879,-2442.259,3781.024,-2984.261,-2752.842,-1385.057,-7.919686,-1768.275,-1437.987,-3111.694,930.7015,-295.2145,1593.139,-2387.253,-59.81021,-2888.161,-2861.8,-18.58181,-256.6089,-1577.778,607.8722,853.5816,1639.151,-51.09119,-1214.756,1356.764,-514.7578,-5171.554,-938.0084,-190.9748,-8.904993,9044.638,439.1874,4091.363,-865.9717,1899.447,20973.71,-2058.689,686.9909,1433.152,-2271.147,-1791.063,-914.2106,-1471.61,1953.222,-290.4835,-581.9119,-619.8187,-1937.717,393.1366,1407.568,-1957.899,701.4191,-815.1307,-556.698,401.0602,-1492.084,-515.404,-1870.039,-1375.766,1898.412,-3233.33,-376.1368,-3463.675,137.573,-688.6015,-3240.47,-1230.523,-1506.32,-938.9078,-3505.971,-4158.37,464.2592,-209.3894,5780.796,4142.101,13371.37,-2610.421,-3184.553,-3768.061
18.59256,-3227.743,-3704.618,-671.6876,1301.759,-931.3371,-857.2768,789.8184,1591.049,1400.75,2381.985,3217.651,-2111.33,-2111.636,-675.1094,4494.83,-1357.994,-2147.246,1490.384,-1212.89,-1216.048,-2412.384,293.948,-2487.299,2924.714,-985.9714,-242.1027,-1219.151,154.6754,-2291.303,1594.574,-2316.831,438.9321,-2852.186,-86.9724,-1398.136,-538.413,-5181.148,-581.9923,1286.677,-280.7646,-2054.745,735.8817,1559.633,503.574,-2058.848,-243.236,1410.503,-2770.115,-4475.989,-1989.662,-163.6167,-663.4755,6928.752,-1580.152,494.0982,-1149.63,-601.3054,21725.58,-3554.032,2507.189,-825.584,-1227.379,930.1285,-1516.802,-1529.278,1766.038,-1896.317,-52.27856,514.9058,-628.8101,-595.8141,781.1489,-1113.537,2350.301,-2394.791,-50.67036,185.9069,-2037.665,-1663.692,-3330.583,157.4108,2031.128,-4033.772,-1484.797,-1939.067,888.4792,-2686.758,-3191.013,-2280.199,-1054.635,-1676.376,-2610.717,-3035.323,2430.342,-304.1389,3696.527,2899.521,12993.88,-2139.206,-2629.308,-1619.316
