Distance_(pixels),Gray_Value
454,17.2519
455,17.3273
456,17.4281
457,17.5485
458,17.7800
459,18.0740
460,18.4413
461,18.9840
462,19.6132
463,20.3029
464,20.8972
465,21.5076
466,22.2638
467,23.1781
468,24.1020
469,24.9164
470,25.6165
471,26.1988
472,26.6308
473,27.0524
474,27.4774
475,27.9079
476,28.2890
477,28.5128
478,28.5589
479,28.7022
480,28.9968
481,29.3812
482,29.6585
483,29.9009
484,30.1329
485,30.2881
486,30.3322
487,30.6057
488,30.9373
489,31.1165
490,31.1167
491,30.9022
492,30.4276
493,30.1025
494,30.0897
495,30.3308
496,30.6977
497,30.9920
498,30.9856
499,30.8338
500,30.6400
501,30.6542
502,30.9289
503,31.0874
504,30.8383
505,30.4682
506,30.3870
507,30.6099
508,30.9112
509,30.9802
510,30.9717
511,30.9456
512,30.7905
513,30.5617
514,30.2951
515,29.9256
516,29.5983
517,29.3787
518,29.2187
519,29.0349
520,28.8359
521,28.8661
522,29.1449
523,29.3702
524,29.6510
525,29.9443
526,30.1075
527,29.9335
528,29.5262
529,29.0581
530,28.6661
531,28.4627
532,28.3351
533,28.3628
534,28.4612
535,28.6642
536,28.9077
537,29.0911
538,29.3167
539,29.5284
540,29.7426
541,29.8116
542,29.7183
543,29.4554
544,29.2011
545,29.1221
546,29.1414
547,29.0123
548,28.8834
549,28.9038
550,29.2285
551,29.7026
552,30.1378
553,30.4876
554,30.4845
555,30.4571
556,30.4633
557,30.6199
558,30.7727
559,30.7953
560,30.7142
561,30.5875
562,30.5608
563,30.6791
564,31.0485
565,31.5479
566,31.9578
567,32.2048
568,32.0922
569,31.9516
570,31.8388
571,31.8123
572,31.7744
573,31.8095
574,32.0371
575,32.4639
576,32.7439
577,32.9819
578,33.2821
579,33.5561
580,33.6089
581,33.4991
582,33.2849
583,33.1354
584,32.8303
585,32.4321
586,32.2844
587,32.6710
588,33.0834
589,33.1572
590,32.9776
591,32.6792
592,32.4810
593,32.4430
594,32.5679
595,32.7094
596,32.7765
597,32.7487
598,32.7946
599,32.7776
600,32.6979
601,32.5655
602,32.5652
603,32.7363
604,32.6801
605,32.3412
606,31.9533
607,31.6243
608,31.4189
609,31.1898
610,30.9944
611,30.9930
612,31.0013
613,30.9902
